epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2118.56,0.72156,0.9438,0.00246,0.74553,0.69816,0.76483,0.63741,0.68814,0.87754,0.00408,6.9805e-05,6.9805e-05,6.9805e-05
63,2152.52,0.71942,0.94658,0.00236,0.76099,0.68738,0.76226,0.63251,0.691,0.90095,0.00409,6.931e-05,6.931e-05,6.931e-05
64,2186.47,0.69957,0.93487,0.00236,0.74414,0.69644,0.76562,0.63143,0.70575,0.87378,0.00407,6.8815e-05,6.8815e-05,6.8815e-05
65,2220.46,0.72779,0.90559,0.00244,0.68961,0.74277,0.76575,0.63236,0.68296,0.87756,0.00398,6.832e-05,6.832e-05,6.832e-05
66,2254.48,0.71493,0.91255,0.00242,0.74753,0.69195,0.76847,0.63866,0.67728,0.86393,0.00401,6.7825e-05,6.7825e-05,6.7825e-05
67,2288.5,0.73144,0.92363,0.0024,0.74353,0.68845,0.76409,0.63516,0.68867,0.8692,0.00412,6.733e-05,6.733e-05,6.733e-05
68,2322.51,0.70272,0.89549,0.00241,0.75465,0.69429,0.769,0.64357,0.68257,0.85429,0.004,6.6835e-05,6.6835e-05,6.6835e-05
69,2356.48,0.71421,0.90032,0.00243,0.71665,0.72171,0.77125,0.64106,0.68828,0.85498,0.00416,6.634e-05,6.634e-05,6.634e-05
70,2390.5,0.7256,0.89192,0.00238,0.73298,0.71797,0.7793,0.64545,0.68533,0.83504,0.0041,6.5845e-05,6.5845e-05,6.5845e-05
71,2424.48,0.70232,0.84903,0.00244,0.70328,0.74442,0.77687,0.64505,0.69198,0.82155,0.0042,6.535e-05,6.535e-05,6.535e-05
72,2458.54,0.7221,0.9174,0.00244,0.71504,0.73336,0.7765,0.6445,0.68915,0.8332,0.00407,6.4855e-05,6.4855e-05,6.4855e-05
73,2492.47,0.69784,0.88932,0.00241,0.77975,0.68662,0.77246,0.64097,0.68115,0.83418,0.00399,6.436e-05,6.436e-05,6.436e-05
74,2526.48,0.70389,0.84761,0.00243,0.76334,0.69214,0.77611,0.64977,0.67354,0.83554,0.00393,6.3865e-05,6.3865e-05,6.3865e-05
75,2560.5,0.71664,0.87454,0.00251,0.77244,0.69549,0.77688,0.64446,0.68441,0.83629,0.00405,6.337e-05,6.337e-05,6.337e-05
76,2594.5,0.69426,0.86523,0.00234,0.77485,0.70692,0.78917,0.65601,0.67806,0.82301,0.00395,6.2875e-05,6.2875e-05,6.2875e-05
77,2628.52,0.70563,0.88889,0.00238,0.74591,0.71583,0.78497,0.64952,0.67929,0.82538,0.00394,6.238e-05,6.238e-05,6.238e-05
78,2662.55,0.68933,0.82332,0.00228,0.78115,0.69875,0.78785,0.65253,0.6793,0.81539,0.00398,6.1885e-05,6.1885e-05,6.1885e-05
79,2696.56,0.70328,0.87367,0.00237,0.78992,0.7091,0.79101,0.65867,0.66712,0.79244,0.00389,6.139e-05,6.139e-05,6.139e-05
80,2730.56,0.71046,0.84347,0.0023,0.75921,0.72986,0.79403,0.651,0.6904,0.80228,0.00398,6.0895e-05,6.0895e-05,6.0895e-05
81,2764.51,0.67304,0.81153,0.00222,0.72958,0.73202,0.78796,0.65252,0.68138,0.82008,0.00391,6.04e-05,6.04e-05,6.04e-05
82,2798.51,0.71808,0.87942,0.0025,0.7625,0.71674,0.79073,0.65638,0.68511,0.80784,0.00414,5.9905e-05,5.9905e-05,5.9905e-05
83,2832.57,0.70777,0.86341,0.00239,0.77089,0.71504,0.78644,0.65291,0.66747,0.81264,0.00404,5.941e-05,5.941e-05,5.941e-05
84,2866.56,0.68469,0.82108,0.00232,0.75284,0.73738,0.78904,0.65513,0.67307,0.81147,0.00396,5.8915e-05,5.8915e-05,5.8915e-05
85,2900.56,0.70238,0.84375,0.00233,0.74819,0.73067,0.79137,0.65471,0.68644,0.78801,0.00409,5.842e-05,5.842e-05,5.842e-05
86,2934.55,0.71737,0.83997,0.00235,0.80343,0.70743,0.79437,0.66043,0.67961,0.79158,0.00397,5.7925e-05,5.7925e-05,5.7925e-05
87,2968.57,0.68427,0.79151,0.00225,0.78913,0.70767,0.79593,0.65949,0.66675,0.8009,0.00394,5.743e-05,5.743e-05,5.743e-05
88,3002.55,0.67246,0.79199,0.00222,0.75398,0.73701,0.79257,0.65655,0.67392,0.78503,0.00401,5.6935e-05,5.6935e-05,5.6935e-05
89,3036.51,0.67014,0.81262,0.00228,0.75194,0.73608,0.79212,0.65612,0.67416,0.79936,0.00403,5.644e-05,5.644e-05,5.644e-05
90,3070.52,0.6706,0.80438,0.00222,0.75394,0.74552,0.79264,0.6603,0.67015,0.80542,0.00393,5.5945e-05,5.5945e-05,5.5945e-05
91,3104.54,0.66701,0.83305,0.00219,0.74261,0.73613,0.78604,0.65141,0.67392,0.8196,0.00395,5.545e-05,5.545e-05,5.545e-05
92,3138.55,0.67496,0.81113,0.00221,0.76037,0.74085,0.79113,0.65608,0.66723,0.81136,0.00395,5.4955e-05,5.4955e-05,5.4955e-05
93,3172.51,0.66549,0.79783,0.00219,0.75476,0.74903,0.7972,0.66341,0.66455,0.80062,0.00396,5.446e-05,5.446e-05,5.446e-05
94,3206.47,0.69515,0.80785,0.00232,0.77793,0.7439,0.80042,0.66524,0.65914,0.79693,0.00385,5.3965e-05,5.3965e-05,5.3965e-05
95,3240.49,0.6585,0.79895,0.00212,0.80101,0.72452,0.79744,0.66465,0.65652,0.79794,0.00379,5.347e-05,5.347e-05,5.347e-05
96,3274.48,0.67346,0.82943,0.00234,0.79029,0.71134,0.79743,0.66398,0.66264,0.808,0.0038,5.2975e-05,5.2975e-05,5.2975e-05
97,3308.42,0.67068,0.79559,0.00224,0.75553,0.73374,0.79884,0.66259,0.66932,0.80924,0.00387,5.248e-05,5.248e-05,5.248e-05
98,3342.41,0.65955,0.78389,0.00222,0.78976,0.73022,0.80033,0.66541,0.66685,0.80116,0.00388,5.1985e-05,5.1985e-05,5.1985e-05
99,3376.4,0.66485,0.79259,0.00214,0.79285,0.7341,0.80255,0.66362,0.67235,0.79379,0.00389,5.149e-05,5.149e-05,5.149e-05
100,3410.35,0.66774,0.78669,0.00218,0.76667,0.74201,0.7987,0.66166,0.65792,0.81017,0.0038,5.0995e-05,5.0995e-05,5.0995e-05
