epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,3951.18,0.57686,0.37251,0.00187,0.90361,0.82204,0.91268,0.72742,0.71526,0.53727,0.00456,0.0004951,0.0004951,0.0004951
104,3984.48,0.59068,0.3529,0.00199,0.89876,0.85856,0.91417,0.73639,0.71218,0.52654,0.00452,0.00049015,0.00049015,0.00049015
105,4017.76,0.57903,0.36521,0.00188,0.91379,0.83162,0.91555,0.73114,0.71898,0.53805,0.00454,0.0004852,0.0004852,0.0004852
106,4051.08,0.59117,0.35178,0.002,0.87083,0.86566,0.91137,0.74153,0.69437,0.54616,0.00443,0.00048025,0.00048025,0.00048025
107,4084.43,0.58572,0.34362,0.00197,0.90955,0.80942,0.91178,0.73086,0.72355,0.57558,0.00466,0.0004753,0.0004753,0.0004753
108,4117.72,0.62064,0.36068,0.00191,0.86218,0.85847,0.91227,0.7337,0.69903,0.56061,0.00439,0.00047035,0.00047035,0.00047035
109,4150.99,0.57047,0.34128,0.0019,0.90591,0.84416,0.91706,0.73745,0.71054,0.56334,0.00442,0.0004654,0.0004654,0.0004654
110,4184.31,0.5655,0.33749,0.00186,0.89938,0.8442,0.91717,0.73821,0.69415,0.51251,0.0045,0.00046045,0.00046045,0.00046045
111,4218.83,0.58446,0.36959,0.00193,0.88792,0.84413,0.91465,0.73651,0.6973,0.5395,0.00449,0.0004555,0.0004555,0.0004555
112,4261.79,0.57824,0.35386,0.00183,0.88527,0.85079,0.91022,0.73555,0.71762,0.54137,0.00459,0.00045055,0.00045055,0.00045055
113,4298.62,0.55906,0.3409,0.00185,0.91167,0.82621,0.91355,0.73566,0.6995,0.54345,0.00449,0.0004456,0.0004456,0.0004456
114,4337.81,0.57296,0.34525,0.00184,0.91237,0.8243,0.90487,0.73645,0.68465,0.5417,0.0043,0.00044065,0.00044065,0.00044065
115,4376,0.56117,0.33666,0.00176,0.89864,0.84856,0.9139,0.73882,0.6998,0.56023,0.0044,0.0004357,0.0004357,0.0004357
116,4417.34,0.5851,0.34073,0.00198,0.87975,0.82866,0.90137,0.7248,0.70867,0.57255,0.00443,0.00043075,0.00043075,0.00043075
117,4461.31,0.58258,0.32599,0.00178,0.91529,0.81669,0.90711,0.73899,0.67882,0.57456,0.00425,0.0004258,0.0004258,0.0004258
118,4505.18,0.55276,0.32849,0.00181,0.88482,0.81959,0.89675,0.73079,0.70227,0.59415,0.00448,0.00042085,0.00042085,0.00042085
119,4549.05,0.56367,0.32064,0.00179,0.90577,0.82833,0.90499,0.7304,0.69816,0.58357,0.00428,0.0004159,0.0004159,0.0004159
120,4593.15,0.57006,0.32202,0.00178,0.89024,0.82925,0.90111,0.73774,0.69561,0.52318,0.00427,0.00041095,0.00041095,0.00041095
121,4637.48,0.56451,0.33758,0.00174,0.93528,0.84848,0.91453,0.74582,0.68957,0.51587,0.00431,0.000406,0.000406,0.000406
122,4681.4,0.54759,0.3303,0.00174,0.92452,0.83864,0.91207,0.75138,0.68895,0.52065,0.00424,0.00040105,0.00040105,0.00040105
123,4725.4,0.54985,0.30845,0.00169,0.8851,0.85742,0.91615,0.73638,0.70415,0.53274,0.00431,0.0003961,0.0003961,0.0003961
124,4769.51,0.56144,0.32372,0.0017,0.90009,0.83426,0.90957,0.7352,0.70087,0.51704,0.00436,0.00039115,0.00039115,0.00039115
125,4813.42,0.55033,0.32239,0.00182,0.89531,0.84479,0.90721,0.7413,0.68765,0.51859,0.00434,0.0003862,0.0003862,0.0003862
126,4857.39,0.54548,0.32953,0.00165,0.89148,0.8387,0.90605,0.73809,0.69356,0.54872,0.00438,0.00038125,0.00038125,0.00038125
127,4901.78,0.55374,0.31879,0.00166,0.92962,0.82377,0.91668,0.74848,0.68736,0.53734,0.00431,0.0003763,0.0003763,0.0003763
128,4945.98,0.53365,0.30329,0.00175,0.89393,0.87777,0.91816,0.7429,0.68928,0.5289,0.00428,0.00037135,0.00037135,0.00037135
129,4990.18,0.55574,0.31547,0.00171,0.86936,0.86757,0.9159,0.74392,0.69295,0.54052,0.00434,0.0003664,0.0003664,0.0003664
130,5029.87,0.54384,0.3079,0.00173,0.88424,0.85214,0.91562,0.7458,0.68532,0.56484,0.00423,0.00036145,0.00036145,0.00036145
131,5072.47,0.55805,0.30126,0.00174,0.92206,0.8412,0.92145,0.74312,0.69632,0.52763,0.00431,0.0003565,0.0003565,0.0003565
132,5116.3,0.543,0.3211,0.00163,0.90651,0.85329,0.91884,0.74323,0.69307,0.51979,0.00436,0.00035155,0.00035155,0.00035155
133,5160.22,0.5404,0.30182,0.0017,0.91184,0.82562,0.91023,0.73949,0.68845,0.54086,0.0043,0.0003466,0.0003466,0.0003466
134,5204.1,0.55645,0.31896,0.00171,0.90683,0.86314,0.91959,0.74158,0.68823,0.52373,0.00438,0.00034165,0.00034165,0.00034165
135,5247.91,0.53422,0.31074,0.00165,0.8949,0.85146,0.91743,0.7399,0.69744,0.52541,0.00438,0.0003367,0.0003367,0.0003367
